rate_name,class,quality,bathroom,bedding,capacity,club,balcony,view
Double room - Glamping Double room - Glamping,tent,undefined,shared bathroom,double/double-or-twin,undefined,not club,no balcony,undefined
"Double safari-tent ""Sirenevyy zakat"" double ",tent,undefined,shared bathroom,double/double-or-twin,undefined,not club,no balcony,undefined
Family room - Terrace Family room - Terrace,room,standard,private bathroom,undefined,undefined,not club,no balcony,undefined
"Safari with 3 Twin Beds Tent - Shared Bath,NonSmoking",tent,undefined,shared bathroom,undefined,undefined,not club,no balcony,undefined
Standard Double Room (SensBase) (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,undefined
Standard GLAMPING TWIN,tent,undefined,shared bathroom,double/double-or-twin,undefined,not club,no balcony,undefined
"Standard Single, Single or Double/Twin Bed",room,standard,private bathroom,double/double-or-twin,single,not club,no balcony,undefined
Swiss Advantage Twin Twin room,room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,undefined
Tent standard with double bed Lesnoe uedinenie double  in block,tent,undefined,shared bathroom,double/double-or-twin,undefined,not club,no balcony,undefined
small double (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,no balcony,undefined
