rate_name,class,quality,bathroom,bedding,capacity,club,balcony,view
Economy room with 6 single beds twin (Main Building) in block,room,economy,shared bathroom,single bed,sextuple,not club,no balcony,undefined
Sextuple Room (3 Adults + 2 Children).,room,standard,private bathroom,undefined,sextuple,not club,no balcony,undefined
Standard Room (Quintuple) (5 Twin Beds),room,standard,private bathroom,undefined,quintuple,not club,no balcony,undefined
"FOUR SINGLE BEDS DELUXE ROOM WITH HARAM VIEW, COMP WIFI/COFFEE-TEA FACILITIES/49 INCH HDTV, 63 SQM/IRON-BOARD/SAFE/MINIBAR/WALKIN SHOWER Quintuple",room,deluxe,private bathroom,single bed,quintuple,not club,no balcony,undefined
Sextuple Room,room,standard,private bathroom,undefined,sextuple,not club,no balcony,undefined
Quintuple Room Bed and Breakfast,room,standard,private bathroom,undefined,quintuple,not club,no balcony,undefined
Standard room with 5 single beds  ,room,standard,private bathroom,single bed,quintuple,not club,no balcony,undefined
Quintuple Room non-smoking,room,standard,private bathroom,undefined,quintuple,not club,no balcony,undefined
Quintuple Room,room,standard,private bathroom,undefined,quintuple,not club,no balcony,undefined
Apartment with 3 rooms for 6 people Sextuple,apartment,undefined,private bathroom,undefined,sextuple,not club,no balcony,undefined
Quintuple Apartments with kitchen (Korvet building) Basic rate without breakfast,apartment,undefined,private bathroom,undefined,quintuple,not club,no balcony,undefined
Standard room with 5 single beds twin ,room,standard,private bathroom,single bed,quintuple,not club,no balcony,undefined
Apartment (Quintuple) (2 Twin Beds and 2 Twin Sofa Beds),apartment,undefined,private bathroom,double/double-or-twin,quintuple,not club,no balcony,undefined
